k,lambda,network_length_km,coverage_pct,coverage_count,redundancy_pairs,penalty,objective_value,avg_distance_to_station,max_distance_to_station,stations
15,0.0,3616.6281301099953,62.16216216216216,23,0,0.0,3616.6281301099953,74.6235928121442,211.3549075612606,"['Dutse', 'Funtua', 'Birnin Kebbi', 'Yola', 'Bauchi', 'Hausari', 'Gombe', 'Damaturu', 'Chigo', 'Abuja', 'Abeokuta', 'Umuahia', 'Enugu', 'Boji-Boji', 'Oshogbo']"
15,0.5,3616.6281301099953,62.16216216216216,23,0,0.0,3616.6281301099953,74.6235928121442,211.3549075612606,"['Dutse', 'Funtua', 'Birnin Kebbi', 'Yola', 'Bauchi', 'Hausari', 'Gombe', 'Damaturu', 'Chigo', 'Abuja', 'Abeokuta', 'Umuahia', 'Enugu', 'Boji-Boji', 'Oshogbo']"
15,1.0,3616.6281301099953,62.16216216216216,23,0,0.0,3616.6281301099953,74.6235928121442,211.3549075612606,"['Dutse', 'Funtua', 'Birnin Kebbi', 'Yola', 'Bauchi', 'Hausari', 'Gombe', 'Damaturu', 'Chigo', 'Abuja', 'Abeokuta', 'Umuahia', 'Enugu', 'Boji-Boji', 'Oshogbo']"
20,0.0,4275.198751230186,72.97297297297297,27,1,0.0,4275.198751230186,50.339213303864675,166.73232155003728,"['Dutse', 'Tudun Wada', 'Birnin Kebbi', 'Jenyau', 'Yola', 'Bauchi', 'Hausari', 'Gombe', 'Damaturu', 'Chigo', 'Lokoja', 'Lafia', 'Bida', 'Ado-Ekiti', 'Ikeja', 'Enugu', 'Uyo', 'Boji-Boji', 'Port Harcourt', 'Oshogbo']"
20,0.5,4275.198751230186,72.97297297297297,27,1,50.0,4325.198751230186,50.339213303864675,166.73232155003728,"['Dutse', 'Tudun Wada', 'Birnin Kebbi', 'Jenyau', 'Yola', 'Bauchi', 'Hausari', 'Gombe', 'Damaturu', 'Chigo', 'Lokoja', 'Lafia', 'Bida', 'Ado-Ekiti', 'Ikeja', 'Enugu', 'Uyo', 'Boji-Boji', 'Port Harcourt', 'Oshogbo']"
20,1.0,4275.198751230186,72.97297297297297,27,1,100.0,4375.198751230186,50.339213303864675,166.73232155003728,"['Dutse', 'Tudun Wada', 'Birnin Kebbi', 'Jenyau', 'Yola', 'Bauchi', 'Hausari', 'Gombe', 'Damaturu', 'Chigo', 'Lokoja', 'Lafia', 'Bida', 'Ado-Ekiti', 'Ikeja', 'Enugu', 'Uyo', 'Boji-Boji', 'Port Harcourt', 'Oshogbo']"
25,0.0,4614.109467847398,86.48648648648648,32,2,0.0,4614.109467847398,31.55079844790952,145.9224887205213,"['Dutse', 'Tudun Wada', 'Kano', 'Birnin Kebbi', 'Sokoto', 'Jenyau', 'Yola', 'Bauchi', 'Hausari', 'Gombe', 'Jalingo', 'Damaturu', 'Chigo', 'Lokoja', 'Lafia', 'Bida', 'Ado-Ekiti', 'Ikeja', 'Abeokuta', 'Enugu', 'Owerri', 'Uyo', 'Yenagoa', 'Boji-Boji', 'Oshogbo']"
25,0.5,4614.109467847398,86.48648648648648,32,2,100.0,4714.109467847398,31.55079844790952,145.9224887205213,"['Dutse', 'Tudun Wada', 'Kano', 'Birnin Kebbi', 'Sokoto', 'Jenyau', 'Yola', 'Bauchi', 'Hausari', 'Gombe', 'Jalingo', 'Damaturu', 'Chigo', 'Lokoja', 'Lafia', 'Bida', 'Ado-Ekiti', 'Ikeja', 'Abeokuta', 'Enugu', 'Owerri', 'Uyo', 'Yenagoa', 'Boji-Boji', 'Oshogbo']"
25,1.0,4614.109467847398,86.48648648648648,32,2,200.0,4814.109467847398,31.55079844790952,145.9224887205213,"['Dutse', 'Tudun Wada', 'Kano', 'Birnin Kebbi', 'Sokoto', 'Jenyau', 'Yola', 'Bauchi', 'Hausari', 'Gombe', 'Jalingo', 'Damaturu', 'Chigo', 'Lokoja', 'Lafia', 'Bida', 'Ado-Ekiti', 'Ikeja', 'Abeokuta', 'Enugu', 'Owerri', 'Uyo', 'Yenagoa', 'Boji-Boji', 'Oshogbo']"
